ID_Entrega;Numero_CTe;ID_Cliente;ID_CD;ID_Destino;ID_Transportadora;ID_Veiculo;ID_Motorista;ID_Status;ID_Ocorrencia;Data_Coleta;Data_Prevista_Entrega;Data_Entrega_Real;Qtd_Volumes;Qtd_Volumes_Entregues;Peso_KG;Cubagem_M3;Distancia_KM;Valor_Mercadoria;Valor_Frete;Custo_Frete
ENT000001;35314202386;CLI026;CD01;DST001;TRP01;VEI023;MOT013;ST1;OC11;2025-01-01;2025-01-05;2025-01-04;22;21;874.1;2.95;107.1;21466.06;456.73;377.22
ENT000002;35395337434;CLI021;CD02;DST001;TRP08;VEI043;MOT048;ST1;OC00;2025-01-01;2025-01-04;2025-01-04;1219;1218;17484.4;83.95;42.1;830957.02;3907.71;3056.61
ENT000003;35396106181;CLI015;CD02;DST036;TRP01;VEI057;MOT011;ST1;OC00;2025-01-01;2025-01-06;2025-01-06;669;669;22697.7;83.15;1001.4;1598762.67;7708.47;6198.44
ENT000004;35991753122;CLI025;CD02;DST037;TRP04;VEI042;MOT036;ST1;OC06;2025-01-01;2025-01-08;2025-01-09;88;88;2940.5;14.95;1038.3;159108.59;2998.88;2486.17
ENT000005;35220764247;CLI017;CD02;DST009;TRP03;VEI007;MOT047;ST7;OC08;2025-01-01;2025-01-07;;121;0;1828.0;14.36;764.9;214640.85;1908.25;1724.63
ENT000006;35302045318;CLI015;CD02;DST014;TRP01;VEI073;MOT047;ST1;OC00;2025-01-01;2025-01-06;2025-01-06;49;49;1137.3;6.69;968.9;57917.61;1490.19;1402.06
ENT000007;35493276624;CLI025;CD02;DST001;TRP01;VEI078;MOT014;ST1;OC00;2025-01-01;2025-01-05;2025-01-04;276;276;2360.8;16.41;42.1;70742.69;750.47;683.58
ENT000008;35255298673;CLI012;CD03;DST003;TRP02;VEI014;MOT009;ST1;OC00;2025-01-01;2025-01-06;2025-01-08;18;18;914.6;4.06;531.1;74903.02;958.94;814.6
ENT000009;35881113599;CLI019;CD02;DST012;TRP03;VEI085;MOT027;ST1;OC00;2025-01-01;2025-01-06;2025-01-06;228;176;12802.1;69.67;515.8;471662.11;3477.87;2762.83
ENT000010;35109549636;CLI003;CD03;DST008;TRP01;VEI073;MOT022;ST1;OC00;2025-01-01;2025-01-05;2025-01-05;75;75;1166.9;5.04;438.5;116143.87;822.06;781.92
